id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
90,1777063151868,2026-04-24T20:39:11.868000+00:00,eth-usdc,FLOW_CLUSTER,"BUY flow cluster @ 2,319.2522  x1468  $9,391,745",2323.9,-0.00014422,426674.231,4271905.28175,-0.109609061016,80.6573224425
91,1777063224271,2026-04-24T20:40:24.271000+00:00,icp-usdc,THIN_BOOK,impact excess 9.7bp over spread,2.4732,0.00125,763399.8,-26.62414,-0.0646516890254,36.4643123181
92,1777063272052,2026-04-24T20:41:12.052000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,518.4040  x5142  $12,567,742",77596,0.00096274,27454.04272,1376342.0936,-0.0894863227559,86.5603048719
93,1777063309006,2026-04-24T20:41:49.006000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 637.0523  x62  $31,545",637.69,0.00125,45765.57,-1035.33944,-0.208912014397,8.27755413729
94,1777063312275,2026-04-24T20:41:52.275000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2894  x872  $1,546,812",86.723,-0.00146343,3204873.84,277402.83434,-0.116902487201,61.0273112959
95,1777063340537,2026-04-24T20:42:20.537000+00:00,doge-usdc,FLOW_CLUSTER,"BUY flow cluster @ 0.0984  x83  $160,480",0.098446,0.00125,327786464,140349.754456,-0.029449098756,90.7188027846
96,1777063418102,2026-04-24T20:43:38.102000+00:00,icp-usdc,GRINDING_TRAP,px +0.44% 15m (1.9σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.10% 15m,2.4731,0.00125,764230.2,-1009.25246,-0.0969501110887,3.10306972687
97,1777063452423,2026-04-24T20:44:12.423000+00:00,eth-usdc,FLOW_CLUSTER,"BUY flow cluster @ 2,320.9767  x785  $6,794,469",2323.3,-9.261e-05,425493.1314,-1395683.39023,-0.101047019113,17.8119104333
98,1777063533838,2026-04-24T20:45:33.838000+00:00,icp-usdc,THIN_BOOK,impact excess 8.0bp over spread,2.473,0.00125,764217.6,-1059.45177,-0.121163166397,1.45033679511
99,1777063572468,2026-04-24T20:46:12.468000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,544.3780  x5604  $11,418,427",77622,0.00102557,27477.27916,1848785.26734,-0.0791673907587,87.3905366024
100,1777063609475,2026-04-24T20:46:49.475000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 637.1622  x73  $32,761",637.8,0.00125,45762.854,6166.04012,-0.0156764383132,74.3529960925
101,1777063612744,2026-04-24T20:46:52.744000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2904  x817  $1,471,877",86.724,-0.00144798,3204666.36,3323.97348,-0.0967652750899,51.7930198623
102,1777063630165,2026-04-24T20:47:10.165000+00:00,doge-usdc,GRINDING_TRAP,px +0.21% 15m (1.1σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.45% 15m,0.098437,0.00125,327790048,-3727.542395,-0.038588474232,3.35887904937
103,1777063641076,2026-04-24T20:47:21.076000+00:00,doge-usdc,FLOW_CLUSTER,"BUY flow cluster @ 0.0984  x89  $152,603",0.098436,0.00125,327790048,-3619.058373,-0.029452089575,5.91317362656
104,1777063718372,2026-04-24T20:48:38.372000+00:00,icp-usdc,GRINDING_TRAP,px +0.52% 15m (2.3σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.11% 15m,2.4745,0.00125,764235.8,-55.12306,-0.141242937853,30.5509272092
105,1777063752719,2026-04-24T20:49:12.719000+00:00,eth-usdc,FLOW_CLUSTER,"BUY flow cluster @ 2,318.9528  x1216  $7,897,592",2323.6,-4.306e-05,425289.301,1091072.02242,-0.109623197128,96.1527165979
106,1777063834341,2026-04-24T20:50:34.341000+00:00,icp-usdc,THIN_BOOK,impact excess 8.3bp over spread,2.4748,0.00125,764248.8,4.7364,-0.108980827447,51.737453607
107,1777063872988,2026-04-24T20:51:12.988000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,535.3870  x4784  $9,189,199",77613,0.00108923,27466.75352,1099544.50717,-0.0663108627494,85.3201752295
108,1777063909903,2026-04-24T20:51:49.903000+00:00,bnb-usdc,FLOW_CLUSTER,"SELL flow cluster @ 637.1922  x68  $27,978",637.83,0.00125,45763.45,-61.85173,0.127154563436,45.2420603516
